TRIP_ID,VEHICLE_ID
5691c0f7-0301-57c8-bb47-525b35b284c9,712-827
accdd6b8-9bf5-563e-b332-7a8912ea37c2,129-257
f28d32cc-c7eb-5065-81dd-117f7f2424d2,270-513
91a5aa0a-5f2c-5ff9-b059-123a4f0fef4e,309-591
83b4d703-c2b9-5750-83dd-b541e81a918f,068-898
50d68e16-65ca-53aa-aa16-b247ba9b350d,843-191
9975e05d-f808-5be7-8ba6-b58c7992f909,827-746
20104e0a-7ef2-5a4f-bb18-e88129821597,778-967
2bd91bff-5806-575d-a452-60717bd2f0cd,094-773
c2b8f41b-9766-5270-b1a9-ef52f1fed3da,526-410
c1a75259-403a-5d18-8faf-c9312c08c183,680-801
124e929d-dd84-5c31-a573-2cb91addb2c7,726-682
21a21752-be50-54a3-a8b9-bdc68dca8a6e,469-750
a37a0c5e-7b12-5271-b213-6df0338a1ec3,708-380
fd0b52e8-0384-5715-917d-d377c7f3e53b,778-967
0f127845-9c79-586a-928d-acc3b06e249a,730-550
abcdb90c-aaca-5fd8-b677-e4886ccb8cd1,270-513
79a5a6cb-f07b-5edc-a2e4-8f6b857fefef,068-898
2c3f2a6d-c50f-585f-a421-5194d9317163,494-776
5febc0d3-85cc-57ca-bc41-723059a1e2b6,712-827
6ee5c618-d897-5f43-96cb-724189152431,680-801
4bcc4850-c59f-5859-9aed-9211e6586aad,976-968
ff6dc4ad-90f8-5bb3-b258-b351c22b7640,387-941
6fc6bb98-e665-53c7-a7f2-5b6fca092e44,712-827
73bbeb79-d2d3-5bed-b607-e38072459851,094-773
66d97f81-1379-5edf-8c04-5918afa3edb8,636-520
9b41d842-383c-5992-a003-2c793f5a7622,673-926
425910fc-3e10-54e1-9aa9-3d0dec885f65,641-429
06fc1573-7b58-5a29-bf3a-b39ed5f89b6e,271-186
1f0a09f9-ad8c-5d39-89ac-9639a37f2d3c,579-009
569c125c-8fa9-5c67-9b67-80954bb4e10a,527-774
8122a011-3a4c-51c9-8bad-b2ff3c9db49a,294-979
b52c2e58-3672-56ed-8d4b-72d8c909add9,778-967
4adac828-2aea-5b7e-ae3c-05049708fab7,387-941
69798950-2938-52bb-8722-e8a1542b372e,793-230
4bfbcccc-54a7-54d9-83ae-d4cf0830511a,778-967
3be1e4e8-e38e-58ef-93af-a0f1950c5159,158-334
f8b8dd96-8e5b-5d95-9070-596607def98e,185-279
372cbfda-6ff4-5ef4-ae53-19e70e9b8342,271-186
301df517-407a-54a4-ad18-13a76b1a36ff,352-484
9e53701c-e5c0-5662-8b5c-7652e80ed35d,052-978
f4940c61-3352-558a-8821-06e34c0d7411,716-808
370d1a75-0b25-5f5b-901e-38f2f8400b98,527-774
dc54c9f5-106d-5cb3-937c-6e07c6af1108,860-578
0722f570-d57e-50f3-aea8-9afc789ef16c,098-628
6307f9c3-abc5-5d71-90bf-a9825b8a4168,641-429
7da7c8e7-caf2-5e3b-84cc-072c1429eec8,352-390
154161e3-4ffb-51dd-9907-ede0aba875d0,708-380
3447d3e4-1f8e-5a73-b4fa-36face4ea3a7,781-999
78d72ef0-556a-5016-afe6-2d03120ae0be,636-175
3c7a16e9-e2b0-57d4-a6d5-d2a50576c098,860-578
4e5bf4e7-27f3-58ee-96e8-cc3ded9bf4ef,708-380
429db4ec-127e-579a-bc09-f2bc3fa90325,109-319
fe9a17da-9818-5497-a32b-0452205bc47b,270-513
3c62e9d6-df6f-5156-88b5-d25cae759588,462-966
ed34d7c7-ac64-5547-9220-f6edd016756d,778-967
26d62c2f-eb4e-52d9-81a5-68fbdd5ea7ff,439-841
52fa7466-a019-5fd1-9831-5f66fd466fe4,989-218
80749130-fc53-5376-be99-ad3b2312c88d,730-550
200aa948-e079-56e8-8306-5da4229dae42,579-009
30542f8c-4941-5bd9-9215-03f7eeef106a,270-513
be3d7fea-7058-5697-acfa-4557fe90e708,109-319
9b0f119c-9a06-5dd9-947e-7f790c5487d7,129-257
8e680608-9101-565d-a275-afb36e21b354,778-967
aee97f77-c803-51a2-bbdb-b857e328b0ab,778-967
63c91ced-52b1-5917-86da-a1336dd07921,989-678
d46dc91a-cd7d-5a1c-bb97-7fcbd3e4d226,527-774
6baeb205-9ead-5429-97ec-51da3d658b85,094-773
969a7eda-f808-5ab2-898c-cc52e8ad5306,548-915
297b121c-ee32-56f2-a439-0d6853d1ba88,898-820
fcaf4511-20a1-5c2b-9c16-811134a571e5,708-380
d8a03555-72a0-524e-802e-1f641547ec32,778-967
bf3a37d0-339a-52fc-b75e-858556dbfbea,898-820
81940d31-4e47-5019-964c-9710191bf06d,806-762
fe2708f7-fe3e-59b1-bbcd-22be82ae61a5,989-218
16c2afbf-76d4-539a-9f54-c7e772afd14b,548-915
f95fad32-2c9b-5fa9-b7ab-53c2936fb1b2,716-808
31acb850-5e18-50fe-b23e-38081aebe35b,469-750
5503f0c9-54ce-5e1a-b6e8-b5d07e2304af,778-967
118b5bf0-98fd-500e-a092-58665041e220,479-036
d19a1911-ebe1-58d4-9d4c-2771899540f4,599-290
1e714123-8f87-586f-8627-ebe4ea682a6a,989-678
571a0ee1-4c1a-598b-a1f4-9d3268885ef2,712-827
110faf52-44f8-5198-825f-81f8e446fefe,541-703
a514af2c-21fa-51cb-ad8b-52b00b1820eb,129-257
ef7c6185-dbbd-5fb0-ba8e-92105021d8c0,680-801
9cbda116-2194-511e-aa9e-3f2be390f5ab,462-966
054c02a5-0205-5005-ad27-db8bbeb6beeb,185-279
5139c50d-7197-5eac-9e2d-fd0984100580,864-057
e7eac766-f0a9-5b8e-bc56-4d66b06ed650,976-968
bb89f8b6-5bc6-53c1-bce4-7bec9405213c,200-517
e0a41d51-4356-5d61-a7e5-072306b8aa42,334-517
2fd160a0-2df2-5c62-b4ed-5b97b24f7853,052-287
a6e6754c-f7a1-5369-bfc3-c217f9c49ba9,462-966
a91ec73e-2c7b-5199-a38f-f6423d2fba39,462-966
