TRIP_ID,VEHICLE_ID
d8aba064-8aec-455e-a93a-7f2534503b28,D16293
33748dd6-4dce-427b-9b3c-092288178f74,HY48GC
631aefc8-686f-46fd-bae7-2e82e64cc694,TMJJ4M
1cbb4167-4a31-48ae-998d-7176634d75bc,D03312
221a3b22-7d27-4930-9cae-3c5237c63130,D00735
91ca962f-1b56-4384-9d32-31102ac0e998,D03353
1813ee20-a5c4-4342-a13e-23d1a0a44a3c,D11162
cfdd7098-31ad-49ba-9ee2-73141393b150,C8QZB1
f6c06a2e-3da6-4c34-b245-acbc97aedb40,D11735
c37097b8-7a2c-4d13-a97a-ed676cadfd48,D14A75
47a74611-8f2f-4ce6-93f3-8a4e6ad3f3b0,D00085
22762cf2-896d-4364-99bc-9bae9e044010,D03456
d1100207-cddf-4a3b-b5d3-bd6c8e3270f0,D11332
511a9666-2358-4d07-85ad-0bafc5150b84,D04197
84599c21-843a-42b1-adcf-6244a8f18338,D19103
7e33e10d-7f1f-46ec-8b38-e92d9a1b2a30,D00713
06978810-1cfc-49c5-8c3d-32fd0993d570,D02009
9999b269-8ad7-4178-b799-1e06545480b4,AY46SV
8415ca5e-7028-4dd7-80ae-db45e4a5e8a4,D00290
7869205c-8245-4995-9bb0-95418f4115c4,D17438
1fbf61a9-7abb-49a5-b171-181ec639e278,D00726
9a4ad177-7dda-41ed-85ab-3e32ef51c4d0,D13781
7a9a6c4e-dc4d-44b4-9695-4ecd80943398,7ER2F8
0727a58d-b50a-4683-aedb-1b3b4686ca6c,D03494
83cd1826-42a3-4e67-a297-b40e51b568f0,D15585
e731aa2a-92d5-4d64-baa2-e3c9d2fb2448,D00735
f389e1c3-7a4c-4404-b318-3ca42fa5a5bc,D14300
4c5ad4d1-ba11-4174-ba8f-2097e478c0ec,D16708
da16d25c-94ac-49bd-a437-81ac9f13cfa8,D18809
903dc823-c1b8-479d-88de-9420f0284144,D13441
59a789c9-1d55-453b-9e74-0db639cc5ef0,43LE
7aa1fb11-c846-4c40-87a5-90df958cd780,D00076
7ab11a3e-5a76-47f9-a24a-d9827126e85c,D16620
8f1ec464-504d-4b2d-b2a3-3048b1e94718,D14518
bc3f7232-199c-4b77-bb49-e253c39e0c64,D14A75
c956c723-8a40-4d8a-9d61-a9aa08528b54,D03264
eeddb4d6-36a1-4c3a-abaf-444bcbd872a0,D12241
19eccd2e-3392-44f3-b321-0715664f5210,D16640
11d59e44-918c-45d5-86c9-b639b4024d10,AN15P5
7d025c43-9277-4b52-8c52-cee82c511c64,CZYF8X
9c2f310b-3004-4203-9d84-badc78bb221c,D03494
c1f29ddc-0be6-4acd-9859-e40d1f034f38,CT1CMN
aecb2e49-cf07-4c03-9175-2a6743b4a628,RFG156
